order_number,item_number,product_name,item_sales_units
22867455301,11010,2 Pack Organic Shells & White Cheddar,1
22867455301,53019,Chef's Knife,1
22866855277,11018,Organic Black Beans,1
22866855277,11003,Organic Creamy Peanut Butter,1
22866855277,33001,Peppermint Toothpaste,1
22866855277,11009,2 Pack Organic Shells & Yellow Cheddar,1
22866855277,33002,Peppermint Mouthwash,1
22866668057,11005,2 Pack Gluten Free Yellow Cheddar Macaroni & Cheese,1
22866668057,11030,Organic Peanut Powder,1
22866668057,11027,Organic Strawberry Fruit Spread,1
22866668057,14022,Organic Whole Wheat Animal Cookies,1
22866668057,11012,Organic Long Grain Brown Rice,1
22866668057,11043,Organic Oats & Honey Granola,1
22866668057,61005,Craft Paper Hard Cover Bound Notebook,1
22866668057,11009,2 Pack Organic Shells & Yellow Cheddar,1
22866668057,11045,Vanilla Cocoa Granola,1
22866668057,11057,Organic Arrabbiata Pasta Sauce,1
22866668057,14016,Organic Honey Graham Crackers,1
22856791926,14035,Organic Crushed Pepper & Truffle Oil Popcorn,1
22856791926,14007,Organic Blue Corn Tortilla Chips,1
22856791926,11002,Organic Agave Nectar,1
22856791926,11061,Gochujang Korean Sweet & Spicy Cooking Sauce,1
22856791926,11016,Organic Virgin Coconut Oil,1
22856791926,32002,Organic Cotton Rounds,1
22856791926,11028,Organic Blackberry Fruit Spread,1
22856791926,31001,Unscented Body Lotion,1
22856791926,11018,Organic Black Beans,1
22856791926,14008,Organic Olive Oil & Sea Salt Popcorn,1
22853032599,31002,Daily Facial Moisturizer,1
22853032599,31001,Unscented Body Lotion,1
22853032599,31010,2 Pack Lip Balm,1
22852544585,11027,Organic Strawberry Fruit Spread,2
22852544585,31008,Gel Hand Soap,1
22852544585,22001,Dish Soap ,1
22852544585,11016,Organic Virgin Coconut Oil,1
22852544585,11044,Blueberry Flax Granola,2
22852544585,11026,Organic Balsamic Vinegar of Modena,1
22852544585,11019,Organic Dark Red Kidney Beans,5
22852544585,11029,Organic Raw Apple Cider Vinegar,1
22852544585,11058,Organic Roasted Garlic Pasta Sauce,1
22852544585,11018,Organic Black Beans,5
22852544585,14007,Organic Blue Corn Tortilla Chips,2
22852544585,11043,Organic Oats & Honey Granola,2
22852544585,11001,Organic Honey,1
22852544585,11053,Organic Poppy Seed Dressing,1
22852544585,11020,Organic Garbanzo Beans,4
22852544585,12001,Organic Cane Sugar,1
22850431805,13002,Organic Fair Trade Medium Roast Coffee Pods,1
22850431805,11018,Organic Black Beans,1
22850431805,13009,Organic Fruit Tea & Herbal Sampler Variety Pack,1
22822435423,11016,Organic Virgin Coconut Oil,3
22822435423,11007,Organic Yellow Mustard,1
22822435423,11003,Organic Creamy Peanut Butter,1
22822435423,53015,Vegetable Peeler,1
22822435423,11037,Organic Mayo,1
22822435423,31001,Unscented Body Lotion,1
22822435423,11029,Organic Raw Apple Cider Vinegar,1
22822435423,11024,Organic Ketchup,1
22822435423,11011,Organic Quinoa,2
22822435423,13001,Organic Fair Trade Dark Roast Coffee Pods,1
22822435423,13002,Organic Fair Trade Medium Roast Coffee Pods,1
22822435423,11008,Organic Dijon Mustard,1
22822435423,32004,Regular Absorbency Organic Cotton Tampons,2
22819360714,11027,Organic Strawberry Fruit Spread,1
22819360714,11037,Organic Mayo,1
22819360714,11016,Organic Virgin Coconut Oil,1
22819360714,11025,Organic Extra Virgin Olive Oil,1
22819360714,11003,Organic Creamy Peanut Butter,1
22819360714,11062,Thai Peanut Cooking Sauce,1
22818919804,14035,Organic Crushed Pepper & Truffle Oil Popcorn,1
22818919804,14022,Organic Whole Wheat Animal Cookies,1
22818919804,14009,Organic Aged White Cheddar Popcorn,1
22818919804,14004,Gummy Fruit Wedges,1
22813243358,11030,Organic Peanut Powder,1
22813243358,11027,Organic Strawberry Fruit Spread,1
22813243358,11057,Organic Arrabbiata Pasta Sauce,1
22813243358,11028,Organic Blackberry Fruit Spread,1
22813243358,11056,Organic Tomato Basil Pasta Sauce,1
22811785250,11011,Organic Quinoa,1
22811785250,11016,Organic Virgin Coconut Oil,2
22811785250,11030,Organic Peanut Powder,1
22811785250,11048,Organic Tomato Sauce,1
22811785250,11021,Organic Maple Syrup,1
22811785250,11028,Organic Blackberry Fruit Spread,1
22811785250,32002,Organic Cotton Rounds,1
22811785250,11001,Organic Honey,1
22811785250,11052,Organic Sesame Ginger Dressing & Marinade,1
22811785250,11049,Organic Teriyaki Sauce & Marinade ,1
22808350844,14010,Vegetable Chips,1
22808350844,14006,Organic Yellow Corn Tortilla Chips,1
22808350844,11002,Organic Agave Nectar,1
22808350844,22003,Multi-Surface Cleaner,1
22808350844,11044,Blueberry Flax Granola,1
22808350844,14007,Organic Blue Corn Tortilla Chips,1
22808350844,11055,Organic Black Bean & Corn Salsa,1
22808350844,11001,Organic Honey,1
22808350844,11054,Organic Thick & Chunky Salsa,1
22808350844,11043,Organic Oats & Honey Granola,1
22808350844,11028,Organic Blackberry Fruit Spread,1
22808350844,14005,Sour Gummy Worms,1
22808350844,11018,Organic Black Beans,1
22808350844,11060,Organic Texas Style Barbecue Sauce,1
22808350844,11045,Vanilla Cocoa Granola,1
22808350844,14022,Organic Whole Wheat Animal Cookies,1
22808350844,11049,Organic Teriyaki Sauce & Marinade ,1
22799803262,31008,Gel Hand Soap,1
22799803262,14033,Cranberry & Oat Crisps,1
22799803262,22003,Multi-Surface Cleaner,1
22799803262,33002,Peppermint Mouthwash,1
22799803262,14022,Organic Whole Wheat Animal Cookies,1
22799803262,33001,Peppermint Toothpaste,1
22799803262,14008,Organic Olive Oil & Sea Salt Popcorn,2
22795466313,11016,Organic Virgin Coconut Oil,1
